Pedestrians,weather_summary,temperature,precipitation,events,hour_begin,has_event
1926,partly-cloudy-day,64.0,0.0,"",2019-05-02T17:00:00.000-04:00,0
1511,partly-cloudy-day,86.0,0.0,"",2019-06-28T18:00:00.000-04:00,0
396,partly-cloudy-day,49.0,0.0,"",2019-12-14T09:00:00.000-05:00,0
32,partly-cloudy-night,62.0,0.0,"",2019-05-25T21:00:00.000-04:00,0
1,clear-night,57.0,0.0,"",2019-06-04T02:00:00.000-04:00,0
5,clear-night,27.0,0.0,"",2019-01-14T21:00:00.000-05:00,0
1,clear-night,27.0,0.0,"",2019-01-27T04:00:00.000-05:00,0
2296,partly-cloudy-day,78.0,0.0,"",2019-06-15T19:00:00.000-04:00,0
3,rain,36.0,0.0191,"",2019-02-12T23:00:00.000-05:00,0
257,clear-day,22.0,0.0,"",2019-01-11T09:00:00.000-05:00,0
1,clear-night,38.0,0.0,"",2019-11-16T03:00:00.000-05:00,0
61,clear-night,58.0,0.0,"",2019-10-23T20:00:00.000-04:00,0
1589,rain,75.0,0.0049,"",2019-08-13T14:00:00.000-04:00,0
59,clear-night,61.0,0.0,"",2019-09-19T21:00:00.000-04:00,0
1,clear-night,31.0,0.0,"",2019-12-12T02:00:00.000-05:00,0
3524,clear-day,73.0,0.0,"",2019-04-13T15:00:00.000-04:00,0
3,partly-cloudy-night,48.0,0.0,"",2019-11-21T21:00:00.000-05:00,0
1481,clear-day,72.0,0.0,"",2019-05-22T13:00:00.000-04:00,0
900,partly-cloudy-day,26.0,0.0,"",2019-12-21T10:00:00.000-05:00,0
0,cloudy,44.0,0.0,"",2019-03-21T03:00:00.000-04:00,0
1,cloudy,39.0,0.0,"",2019-02-07T05:00:00.000-05:00,0
1632,cloudy,44.0,0.0,"",2019-03-18T16:00:00.000-04:00,0
28,cloudy,58.0,0.0,"",2019-05-30T05:00:00.000-04:00,0
3335,partly-cloudy-day,65.0,0.0,"",2019-10-13T15:00:00.000-04:00,0
0,partly-cloudy-night,79.0,0.0,"",2019-07-22T04:00:00.000-04:00,0
2353,partly-cloudy-day,65.0,0.0,"",2019-10-25T15:00:00.000-04:00,0
15,partly-cloudy-night,45.0,0.0,"",2019-02-24T19:00:00.000-05:00,0
1,cloudy,69.0,0.0041,"",2019-06-10T23:00:00.000-04:00,0
2818,partly-cloudy-day,76.0,0.0,"",2019-06-09T14:00:00.000-04:00,0
9,clear-night,67.0,0.0,"",2019-09-25T23:00:00.000-04:00,0
1,rain,51.0,0.0124,"",2019-04-27T03:00:00.000-04:00,0
3157,partly-cloudy-day,74.0,0.0,"",2019-08-24T14:00:00.000-04:00,0
2521,partly-cloudy-day,73.0,0.0,"",2019-08-25T12:00:00.000-04:00,0
2,partly-cloudy-night,58.0,4.0E-4,"",2019-04-19T03:00:00.000-04:00,0
0,clear-night,60.0,0.0,"",2019-09-21T05:00:00.000-04:00,0
959,clear-day,28.0,0.0,"",2019-01-22T14:00:00.000-05:00,0
8,clear-night,36.0,0.0,"",2019-11-29T21:00:00.000-05:00,0
1,partly-cloudy-night,36.0,0.0014,"",2019-03-19T02:00:00.000-04:00,0
0,partly-cloudy-night,63.0,0.0,Tax Day,2019-04-15T03:00:00.000-04:00,1
368,partly-cloudy-day,71.0,0.0,"",2019-09-29T08:00:00.000-04:00,0
1,cloudy,48.0,0.0,"",2019-04-12T03:00:00.000-04:00,0
311,partly-cloudy-day,59.0,0.0,"",2019-04-14T08:00:00.000-04:00,0
881,partly-cloudy-day,69.0,0.0,"",2019-06-15T09:00:00.000-04:00,0
354,sleet,32.0,0.0089,"",2019-12-01T13:00:00.000-05:00,0
0,clear-night,40.0,0.0,"",2019-02-15T03:00:00.000-05:00,0
0,clear-night,24.0,0.0,"",2019-02-10T02:00:00.000-05:00,0
2928,clear-day,57.0,0.0,"",2019-03-24T14:00:00.000-04:00,0
663,rain,38.0,0.076,"",2019-01-20T12:00:00.000-05:00,0
269,snow,32.0,0.0267,"",2019-12-11T09:00:00.000-05:00,0
2745,clear-day,59.0,0.0,"",2019-04-17T15:00:00.000-04:00,0
43,clear-night,74.0,0.0,"",2019-08-05T21:00:00.000-04:00,0
1,cloudy,63.0,0.0,"",2019-09-13T01:00:00.000-04:00,0
2513,partly-cloudy-day,74.0,0.0,"",2019-05-24T17:00:00.000-04:00,0
0,partly-cloudy-night,69.0,0.0,"",2019-09-15T04:00:00.000-04:00,0
279,partly-cloudy-day,71.0,0.0,"",2019-06-17T07:00:00.000-04:00,0
1,clear-night,69.0,0.0,"",2019-09-11T02:00:00.000-04:00,0
0,cloudy,56.0,0.0,"",2019-10-12T03:00:00.000-04:00,0
105,clear-night,32.0,0.0,"",2019-01-10T18:00:00.000-05:00,0
2,cloudy,55.0,0.0,"",2019-04-17T00:00:00.000-04:00,0
1354,cloudy,75.0,0.0,"",2019-09-26T16:00:00.000-04:00,0
4,partly-cloudy-night,67.0,0.0,"",2019-09-07T23:00:00.000-04:00,0
1973,clear-day,80.0,0.0,"",2019-08-29T18:00:00.000-04:00,0
0,clear-night,26.0,0.0,"",2019-02-09T05:00:00.000-05:00,0
1,cloudy,64.0,0.0,"",2019-10-01T03:00:00.000-04:00,0
144,rain,46.0,0.1363,New Year's Day,2019-01-01T00:00:00.000-05:00,1
1395,cloudy,63.0,0.0,"",2019-06-13T15:00:00.000-04:00,0
0,clear-night,53.0,0.0,"",2019-10-13T05:00:00.000-04:00,0
2,clear-night,45.0,0.0,"",2019-10-19T02:00:00.000-04:00,0
703,cloudy,60.0,0.0,"",2019-10-22T16:00:00.000-04:00,0
1,cloudy,46.0,0.0,"",2019-12-27T05:00:00.000-05:00,0
0,clear-night,25.0,0.0,"",2019-02-19T03:00:00.000-05:00,0
1084,cloudy,69.0,0.0,"",2019-10-06T18:00:00.000-04:00,0
